input_query,output_intermediate_steps,output_output,output_result
Quelles sont les alternatives thérapeutiques pour l'anxiété généralisée ?,"[{""query"": ""MATCH (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(\""Anxiété généralisée\"") return dci.name_fr as alternatives""}, {""context"": [{""alternatives"": ""prégabaline""}, {""alternatives"": ""escitalopram""}, {""alternatives"": ""venlafaxine""}, {""alternatives"": ""paroxétine""}, {""alternatives"": ""duloxétine""}]}]",,"Les médicaments suivants peuvent être utilisés pour traiter l'anxiété généralisée :
  - Pregabaline
  - Escitalopram
  - Venlafaxine
  - Paroxétine
  - Duloxétine"
Comment traiter les phobies sociales ?,"[{""query"": ""match (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(\""phobies sociales\"") return dci.name_fr""}, {""context"": [{""dci.name_fr"": ""escitalopram""}, {""dci.name_fr"": ""venlafaxine""}, {""dci.name_fr"": ""sertraline""}, {""dci.name_fr"": ""paroxétine""}]}]",,"Les phobies sociales peuvent être traitées avec plusieurs médicaments tels que l'escitalopram, la venlafaxine, la sertraline et la paroxétine."
Quelle prise en charge possibles pour les troubles anxieux phobiques ?,"[{""query"": ""match (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(\""Troubles anxieux phobiques\"") return dci.name_fr as PrisesEnCharge""}, {""context"": [{""PrisesEnCharge"": ""cyamémazine""}, {""PrisesEnCharge"": ""sulpiride""}, {""PrisesEnCharge"": ""buspirone chlorhydrate""}, {""PrisesEnCharge"": ""étifoxine chlorhydrate""}]}]",,"Les troubles anxieux phobiques peuvent être traités par les médicaments suivants :
  - Cyamémazine
  - Sulpiride
  - Buspirone chlorhydrate
  - Étifoxine chlorhydrate"
Quels médicaments prendre pour un trouble affectif bipolaire ?,"[{""query"": ""\nMATCH (d:Disease)-[:is_treated_by]->(dci:DCI) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(\""Trouble affectif bipolaire\"") return dci.name_fr as Médicaments""}, {""context"": [{""Médicaments"": ""quétiapine""}]}]",,Le trouble affectif bipolaire peut être traité avec le médicament quétiapine.
Comment prendre en charge la névralgie du trijumeau ?,"[{""query"": ""match (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(\""névralgie du trijumeau\"") return dci.name_fr as Traitements""}, {""context"": [{""Traitements"": ""carbamazépine""}]}]",,"Le traitement de la névralgie du trijumeau comprend les éléments suivants :
- carbamazépine"
Que donne un médecin pour une céphalée de tension ?,,"",
"j'ai une migraine, que dois-je faire ?","[{""query"": ""match (d: Disease {name_fr : \""Migraine\""})<-[:has_expression]-(m:Indication) return m.name_fr as Indications""}, {""context"": []}]",,"Les migraines peuvent être traitées en suivant ces étapes :
  - Prendre des analgésiques pour soulager la douleur (paracétamol ou ibuprofène)
  - Hydrater soi-même en boivant suffisamment d'eau
  - Éviter les facteurs de stress, comme le travail ou l'activité intense
  - Se reposer en prenant un sommeil suffisant
  - Appliquer des compresses froides sur la tête."
Que préscrire pour un état de mal épileptique ?,"[{""query"": ""MATCH (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(\""Mal épileptique\"") return dci.name_fr as Traitements""}, {""context"": []}]",,"Les états d'épilepsie peuvent être traités avec des médicaments tels que :
  - Nom du médicament 1
  - Nom du médicament 2
  - Nom du médicament 3."
Comment on traite l'épilepsie ?,"[{""query"": ""match (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(\""Épilepsie\"") return dci.name_fr""}, {""context"": [{""dci.name_fr"": ""prégabaline""}, {""dci.name_fr"": ""lamotrigine""}, {""dci.name_fr"": ""carbamazépine""}, {""dci.name_fr"": ""clobazam""}]}]",,"L'épilepsie peut être traitée avec différents médicaments comme la prégabaline, la lamotrigine, la carbamazépine et le clobazam."
Quels médicaments donner pour une chorée de Huntington ?,"[{""query"": ""MATCH (d:Disease)-[:is_treated_by]->(dci:DCI) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(\""Chorée de Huntington\"")\n    return dci.name_fr as Médicaments""}, {""context"": [{""Médicaments"": ""pimozide""}, {""Médicaments"": ""halopéridol""}]}]",,"Les médicaments suivants peuvent être donnés pour une chorée de Huntington :
  - Pimozide
  - Halopéridol."
