input_query,output_intermediate_steps,output_result
Quelles sont les alternatives thérapeutiques pour l'anxiété généralisée ?,"[{""query"": ""\ncypher\nmatch (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(\""Anxiété généralisée\"")\n    return dci.name_fr as Traitements""}, {""context"": [{""Traitements"": ""prégabaline""}, {""Traitements"": ""escitalopram""}, {""Traitements"": ""venlafaxine""}, {""Traitements"": ""paroxétine""}, {""Traitements"": ""duloxétine""}]}]","Les traitements pour l'anxiété généralisée comprennent :
  - Prégabaline
  - Escitalopram
  - Venlafaxine
  - Paroxétine
  - Duloxétine"
Comment traiter les phobies sociales ?,"[{""query"": ""\nmatch (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(\""Phobies sociales\"")\n    return dci.name_fr as Traitements""}, {""context"": [{""Traitements"": ""escitalopram""}, {""Traitements"": ""venlafaxine""}, {""Traitements"": ""sertraline""}, {""Traitements"": ""paroxétine""}]}]","Les phobies sociales peuvent être traitées avec les médicaments suivants :
  - Escitalopram
  - Venlafaxine
  - Sertraline
  - Paroxétine"
Quelle prise en charge possibles pour les troubles anxieux phobiques ?,"[{""query"": ""\nmatch (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(\""Troubles anxieux phobiques\"")\n    return dci.name_fr as Prise_en_charge""}, {""context"": [{""Prise_en_charge"": ""cyamémazine""}, {""Prise_en_charge"": ""sulpiride""}, {""Prise_en_charge"": ""buspirone chlorhydrate""}, {""Prise_en_charge"": ""étifoxine chlorhydrate""}]}]","Les troubles anxieux phobiques peuvent être traités par la prise en charge suivante :
  - Cyamémazine
  - Sulpiride
  - Buspirone chlorhydrate
  - Étifoxine chlorhydrate"
Quels médicaments prendre pour un trouble affectif bipolaire ?,"[{""query"": ""\nmatch (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(\""Trouble affectif bipolaire\"")\n    return dci.name_fr as Médicaments""}, {""context"": [{""Médicaments"": ""quétiapine""}]}]","Pour un trouble affectif bipolaire, il est possible de prendre le médicament suivant :
- Quétiapine."
Comment prendre en charge la névralgie du trijumeau ?,"[{""query"": ""\ncypher\nmatch (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(\""Névralgie du trijumeau\"")\n    return dci.name_fr as Traitements""}, {""context"": [{""Traitements"": ""carbamazépine""}]}]",Le traitement de la névralgie du trijumeau peut inclure la carbamazépine.
Que donne un médecin pour une céphalée de tension ?,"[{""query"": ""\ncypher\nmatch (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(\""Céphalée de tension\"")\n    return dci.name_fr as Traitements""}, {""context"": [{""Traitements"": ""amitriptyline chlorhydrate""}]}]",Le médecin peut prescrire l'amitriptyline chlorhydrate pour traiter une céphalée de tension.
"j'ai une migraine, que dois-je faire ?","[{""query"": ""\ncypher\nmatch (d:Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(\""migraine\"")  return m.name_fr""}, {""context"": [{""m.name_fr"": ""Troubles visuels""}, {""m.name_fr"": ""Céphalées occasionnelles""}, {""m.name_fr"": ""Phonophobie (hypersensibilité au bruit)""}, {""m.name_fr"": ""Vomissements""}, {""m.name_fr"": ""Nausées""}, {""m.name_fr"": ""Photophobie (hypersensibilité à la lumière)""}, {""m.name_fr"": ""Céphalées pulsatiles""}, {""m.name_fr"": ""Céphalées de l'hémicrâne""}, {""m.name_fr"": ""Céphalée durant de 4 à 72h""}]}]","Voici quelques symptômes qui peuvent être associés à une migraine :
  - Troubles visuels
  - Céphalées occasionnelles
  - Phonophobie (hypersensibilité au bruit)
  - Vomissements
  - Nausées
  - Photophobie (hypersensibilité à la lumière)
  - Céphalées pulsatiles
  - Céphalées de l'hémicrâne
  - Céphalée durant de 4 à 72h."
Que préscrire pour un état de mal épileptique ?,"[{""query"": ""\ncypher\nmatch (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(\""Épilepsie\"")\n    return dci.name_fr as Traitements""}, {""context"": [{""Traitements"": ""prégabaline""}, {""Traitements"": ""lamotrigine""}, {""Traitements"": ""carbamazépine""}, {""Traitements"": ""clobazam""}]}]","Pour un état de mal épileptique, il peut être recommandé de prendre :
  - Prégabaline
  - Lamotrigine
  - Carbamazépine
  - Clobazam."
Comment on traite l'épilepsie ?,"[{""query"": ""\nmatch (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(\""Épilepsie\"")\n    return dci.name_fr as Traitements""}, {""context"": [{""Traitements"": ""prégabaline""}, {""Traitements"": ""lamotrigine""}, {""Traitements"": ""carbamazépine""}, {""Traitements"": ""clobazam""}]}]","L'épilepsie peut être traitée avec plusieurs médicaments, notamment :
  - Prégabaline
  - Lamotrigine
  - Carbamazépine
  - Clobazam."
Quels médicaments donner pour une chorée de Huntington ?,"[{""query"": ""\ncypher\nmatch (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) = apoc.text.clean(\""Chorée de Huntington\"")\n    return dci.name_fr as Médicaments""}, {""context"": [{""Médicaments"": ""pimozide""}, {""Médicaments"": ""halopéridol""}]}]","Les médicaments suivants peuvent être prescrits pour une chorée de Huntington :
  - Pimozide
  - Halopéridol"
