,question,answer,cypher,contexts
0,Comment se manifeste la laryngite aiguë ?,"La laryngite aiguë comprend les symptômes suivants:
  - Toux rauque aboyante
  - Troubles de la voix
  - Aphonie (Perte de la voix)
  - Douleur de la gorge
  - Toux sèche
  - Raclement de la gorge
  - Respiration par la bouche
  - Dyspnée
  - Asthénie / Fatigue
  - Fébricule (Fièvre évoluant entre 37,5 °C et 38 °C)
  - Dysphonie
  - Altération [baisse] de l'état général (AEG)
  - Adénopathies cervicales
  - Fièvre","{'query': 'MATCH (n: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(n.name_fr) = apoc.text.clean(""Laryngite aiguë"")  return m.name_fr UNION MATCH (n: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(n.name_fr) = apoc.text.clean(""Laryngite aiguë"") return m.name_fr'}","[{'m.name_fr': 'Stridor'}, {'m.name_fr': 'Toux rauque aboyante'}, {'m.name_fr': 'Troubles de la voix'}, {'m.name_fr': 'Aphonie (Perte de la voix)'}, {'m.name_fr': 'Douleur de la gorge'}, {'m.name_fr': 'Toux sèche'}, {'m.name_fr': 'Raclement de la gorge'}, {'m.name_fr': 'Rougeurs nasales'}, {'m.name_fr': 'Dysphagie'}, {'m.name_fr': 'Myalgies'}, {'m.name_fr': 'Asthénie / Fatigue'}, {'m.name_fr': 'Fébricule (Fièvre évoluant entre 37,5 °c et 38 °C)'}, {'m.name_fr': 'Dysphonie'}, {'m.name_fr': 'Respiration par la bouche'}, {'m.name_fr': 'Obstruction nasale'}, {'m.name_fr': 'Toux'}, {'m.name_fr': 'Dyspnée'}, {'m.name_fr': ""Altération [baisse] de l'état général (AEG)""}, {'m.name_fr': 'Adénopathies cervicales'}, {'m.name_fr': 'Fièvre'}]"
1,Quels sont les signes cliniques d'un syndrome des antisynthétases ?,"La pathologie Arthrite, non précisée comprend les symptômes suivants :
  - Arthrite
  La Main de mécanicien est une autre pathologie qui peut être présente.","{'query': '\nMATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""Syndrome des antisynthétases"")  return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""Syndrome des antisynthétases"") return m.name_fr'}","[{'m.name_fr': 'Arthrite, non précisée'}, {'m.name_fr': 'Main de mécanicien'}]"
2,À quoi ressemble la présentation clinique d'une rétinopathie de Vasalva ?,"La rétinopathie de Vasalva comprend les symptômes suivants :
  - Hémorragie rétinienne
  - Cécité","{'query': 'MATCH (n: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(n.name_fr) = apoc.text.clean(""Rétinopathie de Vasalva"")  return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""Rétinopathie de Vasalva"") return m.name_fr'}","[{'m.name_fr': 'Hémorragie rétinienne'}, {'m.name_fr': 'Cécité'}]"
3,Quels signes sont pathognomoniques de la de la protéinose alvéolaire ?,"Les signes pathognomoniques de la protéinose alvéolaire comprennent les symptômes suivants :
  - Dyspnée d'effort
  - Dyspnée d'aggravation lente et/ou progressive
  - Toux chronique.","{'query': 'MATCH (n: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(n.name_fr) = apoc.text.clean(""Protéinose alvéolaire"")  return m.name_fr'}","[{'m.name_fr': ""Dyspnée d'effort""}, {'m.name_fr': ""Dyspnée d'aggravation lente et/ou progressive""}, {'m.name_fr': 'Toux chronique'}]"
4,Quels signes cliniques rechercher devant une suspicion de BPCO non-tabagique ?,"La BPCO non-tabagique comprend les symptômes suivants :
  - Dyspnée (difficulté à respirer)
  - Toux.","{'query': '\nMATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""BPCO non-tabagique"")  return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""BPCO non-tabagique"") return m.name_fr'}","[{'m.name_fr': 'Dyspnée'}, {'m.name_fr': 'Toux'}]"
5,Quels symptômes cliniques seraient associés à l'endométriose pleuro-pulmonaire ?,"Les symptômes cliniques associés à l'endométriose pleuro-pulmonaire comprennent:
  - Hémoptysie (hémoptysée)
  - Dyspnée d'aggravation lente et/ou progressive (dyspnée chronique, dyspnée)
  - Toux chronique (toux, toux chronique).","{'query': 'MATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""Endométriose pleuro-pulmonaire"")  return m.name_fr'}","[{'m.name_fr': 'Hémoptysie'}, {'m.name_fr': ""Dyspnée d'aggravation lente et/ou progressive""}, {'m.name_fr': 'Toux chronique'}]"
6,Quels signes évoquent un lymphome pulmonaire primitif ?,,"{'query': 'MATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""Endométriose pleuro-pulmonaire"")  return m.name_fr'}",
7,Quels sont les signes typiques de la fièvre typhoïde ?,"Les signes typiques de la fièvre typhoïde comprennent les éléments suivants :
  - Fièvre supérieure ou égale à 39°C
  - Douleur abdominale
  - Toux
  - Céphalées
  - Frissons
  - Exanthème roséoliforme
  - Diarrhée aigue.","{'query': '\n\nMATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""Fièvre typhoïde"")  return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""Fièvre typhoïde"") return m.name_fr'}","[{'m.name_fr': 'Hyperhidrose (Hypersudation, Sueur excessive)'}, {'m.name_fr': 'Fièvre supérieure ou égale à 39°C'}, {'m.name_fr': 'Eruption cutanée'}, {'m.name_fr': 'Douleur abdominale'}, {'m.name_fr': 'Toux'}, {'m.name_fr': 'Céphalées'}, {'m.name_fr': 'Frissons'}, {'m.name_fr': 'Fièvre'}, {'m.name_fr': 'Exanthème roséoliforme'}, {'m.name_fr': 'Diarrhée aigue'}]"
8,Comment se manifeste une entérite à Salmonella sur le plan clinique ?,"L'entérite à Salmonella se manifeste sur le plan clinique par les symptômes suivants :
  - Fièvre
  - Vomissements aigus
  - Diarrhée glairo sanglante
  - Diarrhée aigue
  - Douleur abdominale diffuse
  - Diarrhée","{'query': '\n\nMATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""entérite à Salmonella"")  return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""entérite à Salmonella"") return m.name_fr'}","[{'m.name_fr': 'Fièvre'}, {'m.name_fr': 'Vomissements aigus'}, {'m.name_fr': 'Diarrhée glairo sanglante'}, {'m.name_fr': 'Diarrhée aigue'}, {'m.name_fr': 'Douleur abdominale diffuse'}, {'m.name_fr': 'Diarrhée'}]"
9,Quels sont les signes cliniques attachés à la dermatophytose ?,"La dermatophytose comprend les lésions suivantes :
  - Lésion annulaire d'évolution centrifuge
  - Lésion de la peau glabre
  - Lésion située au niveau des grands plis","{'query': 'MATCH (d:Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""Dermatophytose"")  return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""Dermatophytose"") return m.name_fr'}","[{'m.name_fr': ""Lésion annulaire d'évolution centrifuge""}, {'m.name_fr': 'Lésion de la peau glabre'}, {'m.name_fr': 'Lésion située au niveau des grands plis '}]"
